,precision,recall,f1-score,support
apple watch,0.9714285714285714,0.4563758389261745,0.6210045662100457,149.0
dishwasher,1.0,0.6122448979591837,0.759493670886076,49.0
memory card,1.0,0.19480519480519481,0.32608695652173914,77.0
gas range,1.0,0.576271186440678,0.7311827956989247,118.0
printer,1.0,0.7647058823529411,0.8666666666666666,51.0
wearable technology,0.9473684210526315,0.4864864864864865,0.6428571428571428,74.0
recording equipment,1.0,0.10457516339869281,0.1893491124260355,153.0
dslr lense,1.0,0.3424657534246575,0.5102040816326531,73.0
smartwatch accessory,0.9259259259259259,0.5952380952380952,0.7246376811594204,42.0
nintendo ds games,0.0,0.0,0.0,44.0
case,1.0,0.24489795918367346,0.39344262295081966,49.0
tv,1.0,0.7096774193548387,0.8301886792452831,31.0
security cameras surveillance,1.0,0.35714285714285715,0.5263157894736842,56.0
build dishwasher,1.0,0.6382978723404256,0.7792207792207793,47.0
laptop battery,1.0,0.4868421052631579,0.6548672566371682,76.0
household essential,1.0,0.21666666666666667,0.3561643835616438,60.0
iphone case,0.9767441860465116,0.7,0.8155339805825242,60.0
cooktop,1.0,0.46808510638297873,0.6376811594202899,94.0
coffee maker,1.0,0.17105263157894737,0.29213483146067415,76.0
micro avg,0.9388858842617631,0.5546325878594249,0.6973287808796947,25040.0
macro avg,0.941959817782076,0.42040750712112596,0.5513458171239612,25040.0
weighted avg,0.943652817894113,0.5546325878594249,0.6680517994267563,25040.0
samples avg,0.7889699238414871,0.5655974355664557,0.6255717010783488,25040.0
